"name","b","n","ib_chi2p","ib_emd","ib_chi2s","ib_h","ib_kl","oob_chi2p","oob_emd","oob_chi2s","oob_h","oob_kl"
"ftrain redistricting",7,50000,16.83562487788957,0.8757999999999985,0.30462453728719485,0.22660919613595765,0.3745944350153758,12.69366918553801,0.8518025090463389,0.29695806715614476,0.22354732892784598,0.3578512612170799
"uniform",8,100,1.2154824011878005,0.5372540531223442,0.9637817683202787,0.40903158295575326,0.5369304678984904,373.86888038258206,0.5275204793838797,0.9487918554394077,0.4057326729084308,0.5340271394447382
"ftrain uniform",8,100,46.95199642275438,1.8273800000000016,1.002862811361807,0.40183464933566954,1.0076985030059014,1.6000076971987844e6,1.8583368749809765,0.9992409400630534,0.4026041967167722,1.4322782760804436
"redistricting",8,100,1.2154824011878005,0.5372540531223442,0.9637817683202787,0.40903158295575326,0.5369304678984904,373.86888038258206,0.5275204793838797,0.9487918554394077,0.4057326729084308,0.5340271394447382
"ftrain redistricting",8,100,46.95199642275438,1.8273800000000016,1.002862811361807,0.40183464933566954,1.0076985030059014,1.6000076971987844e6,1.8583368749809765,0.9992409400630534,0.4026041967167722,1.4322782760804436
"uniform",8,199,0.8745112032962042,0.43403243061085506,0.7725171399608672,0.3335748030946246,0.4063972246681823,296.8360442197025,0.43010090760727937,0.7520500360248417,0.32886160357925925,0.40058237085340664
"ftrain uniform",8,199,49.5367559279319,1.9208670110553006,0.8203264876871571,0.37089701140053344,0.9668683066164062,1.6161278635834092e6,1.9446179493528704,0.8196589543267375,0.3715781386550343,1.3767923909001543
"redistricting",8,199,0.8745112032962042,0.43403243061085506,0.7725171399608672,0.3335748030946246,0.4063972246681823,296.8360442197025,0.43010090760727937,0.7520500360248417,0.32886160357925925,0.40058237085340664
"ftrain redistricting",8,199,49.5367559279319,1.9208670110553006,0.8203264876871571,0.37089701140053344,0.9668683066164062,1.6161278635834092e6,1.9446179493528704,0.8196589543267375,0.3715781386550343,1.3767923909001543
"uniform",8,398,0.6418918688678009,0.3605067593209881,0.614493373925947,0.29386712078213845,0.31522207832670857,140.41073016482028,0.34823920476281534,0.5957263253372403,0.2890587845514986,0.30895866114949355
"ftrain uniform",8,398,74.01437323254763,1.79775157663316,0.7682526815102871,0.36268354215721993,0.9918480748133153,2.5252012656964986e6,1.8177094578134538,0.7694536914778025,0.3634825521805576,1.4974441121140554
"uniform",8,794,0.47689844462323383,0.30743257817712094,0.48790986946094084,0.2604398287165681,0.2454350272204796,98.00350594024657,0.3042622053960979,0.4703828821190074,0.25539335695373677,0.23966274584844913
